Title,Videourl,Category,Description,Objects
Paper Napkin Background Collage ♥ Mixed Media Art Journal,www.youtube.com/watch?v=Rc1VrnwtWEY,Art&Music,"↓  |Supplies & Tools|  ↓
♥ Napkin Decoupage 
Amazon → http://amzn.to/2xS3wGD
Create for Less → http://shrsl.com/l7q5

♥ Dylusions Journal (8x5)
Amazon → https://amzn.to/2EL1Rq7
Scrapbook.com → http://shrsl.com/18ufy

♥Heat Tool 
Amazon → https://amzn.to/2NZgd9z

♥ Jumbo Craft Mat
Amazon → http://amzn.to/2d595ax

♥ Mini Scissors
Blitsy → http://shrsl.com/1brib
Amazon → https://amzn.to/2Pj0Zcq
Scrapbook.com → http://shrsl.com/1brie

♥ Dictionary Paper
Amazon → https://amzn.to/2PfA1mP

♥ Mini Paper Trimmer 
Amazon → http://amzn.to/2qONu9s
Scrapbook.com → http://shrsl.com/l7t4

♥ Pitt Big Brush Pens 
Amazon → https://amzn.to/2QbL8Sg

♥ Decoart Media Crackle Paint
Amazon → https://amzn.to/2Bs70j1

♥ Wood Veneer Butterfly
Amazon → https://amzn.to/2UeGJMI

♥ DecoArt Americana Paints 
Blitsy → http://shrsl.com/?i7o6
Create For Less → http://shrsl.com/l7zk
Amazon → http://amzn.to/2znf54H

♥ Posca Paint Pens
Amazon →  https://amzn.to/2R2yXD5

♥ Fude Ball Pen
Amazon → http://amzn.to/2hLkdsA

♥ Page Clips
Amazon → http://amzn.to/2e3BOtq

♥ Vellum Tag
Amazon → https://amzn.to/2KVog3p

♥ PVA Glue
Amazon → http://amzn.to/2Et31pP

♥ Twine
Amazon → https://amzn.to/2NdDqRS

♥ Small Talk Stickers
Blitsy → http://shrsl.com/j4kp
Scrapbook.com → http://shrsl.com/lbwx
Amazon → http://amzn.to/2l6WNCw

♥ Heart Banner Wood Veneer ?





----------------------------------------------------------------------------

                            |Follow!|

♥ Twitter→https://twitter.com/AmberKCreative1

♥ Pinterest → https://www.pinterest.com/artjournalvideos

♥ Instagram → https://www.instagram.com/amber.k.creative/

♥ Facebook → https://www.facebook.com/amberk.creative/

♥ Facebook Group- Amber K. Creative Friends → https://www.facebook.com/groups/amberkcreative/

♥ Recommended Art Journaling Supplies for Beginners → https://goo.gl/Mu6Ue6


This video is not sponsored. 
Some links are affiliate links. I am so thankful when you use my links to shop because it enables me to keep making videos, and best of all it costs you nothing extra!  ♥Thank you! ♥","['book', 'bottle', 'bowl', 'knife', 'tvmonitor', 'toothbrush', 'scissors', 'toilet', 'refrigerator', 'apple', 'cell phone']"
🎨 nyc art college dorm move in. 🎒,www.youtube.com/watch?v=-NkGs2aduvU,Art&Music,"🌟 [open for stuff!!]  🌟

hello :) i've fully relocated to new york city nowwww

this move in vlog shows the adventures i had during the first week of school :"") which was orientation week aka i had a lot of free time. i have my last class of the week tomorrow and wow lol i just got hit by a lot of homework (but maybe that's because i've been procrastinating LOL).
i will say that this vlog is not my best edited one :""( i wanted to get it up asap and im kinda busy but i still tried my best. i hope you enjoyed it! stay tuned for the next videooooo !!! (my room is still in the process of decorating so you'll see more soon!

love,
jasmine
—————————————————————
☺ STAY IN TOUCH ☺

☞ AESTHETIC PERSONAL INSTAGRAM✨: https://www.instagram.com/jaschann/

☞ ART INSTAGRAM: https://www.instagram.com/novchild.jpg/
☞ SNAPCHAT: @minniejaschan3
—————————————————————
DISCOUNTS + PROMO CODES:

GLOSSIER
https://www.glossier.com
http://bff.glossier.com/fikr2 for 20% off!
—————————————————————
// STUFF //
@johnn.kimm

//SONG//

—————————————————————
If you actually read this, comment how your day was!","['suitcase', 'book', 'spoon', 'aeroplane', 'diningtable', 'sports ball', 'sandwich', 'bowl', 'bicycle', 'sofa', 'chair', 'handbag', 'cell phone', 'traffic light', 'hair drier', 'train', 'backpack', 'laptop', 'donut', 'dog', 'oven', 'fork', 'kite', 'cup', 'pizza', 'bench', 'truck', 'car', 'toilet', 'refrigerator', 'pottedplant', 'cat', 'bottle', 'bed', 'vase', 'tvmonitor', 'frisbee', 'knife', 'cake', 'remote']"
An Art Collage From Night Time Nature (October),www.youtube.com/watch?v=1_BDfhdZKA8,Art&Music,"This is an art collage for the month of October. The theme this month is night time. I got inspired by some moon artworks. I really enjoyed making this one. Sorry, its a little late. Please enjoy. Also, don't forget to comment, rate, and subscribe! 
~ ArtisticPainter2364",['frisbee']
Op Art Collage Project,www.youtube.com/watch?v=MDc-vtVbyjk,Art&Music,This video demonstrates a relatively simple way to create an Op Art inspired collage.,"['scissors', 'tie', 'umbrella', 'kite']"
my first week of art college ✨// pratt institute,www.youtube.com/watch?v=ZSh0AatbKso,Art&Music,"🌟 [open for stuff!!]  🌟

hello :) my the weekend + first week of school was quite WILD. i got pierced (its healing quite nicely right now actually no one get mad at me.) and tatted (thank you @lauxkim for the beautiful tattoo job. sorry mom and dad :""( my first week in art college wasn't exciting at all tbh in fact i barely enjoyed it i wish we had more creative assignments//less boring, the only thing i enjoyed was drawing class but i dun like the hw its so confusing LOL.
i hope y'all had a lovely day! 
if you guys have any questions please comment below and i will be sure to answer them. 

love,
jasmine
—————————————————————
☺ STAY IN TOUCH ☺

☞ AESTHETIC PERSONAL INSTAGRAM✨: https://www.instagram.com/jaschann/

☞ ART INSTAGRAM: https://www.instagram.com/novchild.jpg/
☞ SNAPCHAT: @minniejaschan3
—————————————————————
DISCOUNTS + PROMO CODES:

GLOSSIER
https://www.glossier.com
http://bff.glossier.com/fikr2 for 20% off!
—————————————————————
// STUFF //

//SONG//

—————————————————————
If you actually read this, comment how your day was!","['book', 'suitcase', 'spoon', 'diningtable', 'remote', 'bowl', 'bus', 'chair', 'handbag', 'cell phone', 'train', 'laptop', 'clock', 'scissors', 'teddy bear', 'cup', 'car', 'refrigerator', 'wine glass', 'pottedplant', 'cat', 'bottle', 'vase', 'bed', 'knife', 'tvmonitor', 'surfboard', 'stop sign']"
Arts Camp: A Collection of Art: Collage 2013,www.youtube.com/watch?v=LwZ-E5JqkgU,Art&Music,"Did you miss the 2013 performance of Collage at Interlochen Arts Camp? Sit back, get a cup of coffee or tea, and enjoy this edited compilation of the sixteen performances that were featured at the July 9 performance in Kresge Auditorium.","['umbrella', 'bicycle', 'train', 'laptop', 'tvmonitor', 'horse', 'bench', 'baseball bat', 'bird', 'chair', 'tie', 'dog', 'cell phone']"
Doily Collage + Acrylic Paint - Mixed Media Art Journal -Easy tutorial,www.youtube.com/watch?v=5M_tDel0Xug,Art&Music,My first art journal video. Recommended Art Journaling Supplies for Beginners: https://goo.gl/Mu6Ue6,"['book', 'bottle', 'bowl', 'knife', 'tvmonitor', 'toothbrush', 'scissors', 'toilet', 'refrigerator', 'apple', 'cell phone']"
Art Of Collage Aka Art Of Collaers (1958),www.youtube.com/watch?v=iKoRWBSXRec,Art&Music,"London.



Story about a modern art form - collage.  Various shots of a piece of collage art then footage of one of the foremost exponents of this art form E.L.T. Mesens at work.  Mesens lights a piece of newspaper with  cigarette.  He then glues the piece of paper with burnt edges onto a piece of coloured card.  Messens uses bus tickets, burnt spills of paper and cigarette cartons as well as many other things.  Messens adds various bits and pieces to his design including some salt and pepper!



The name of Mesens is synonymous with European Dada and surrealism the narrator informs us.  



A display of collage work at the Institute of Contemporary Art (ICA) is featured.  Art lovers look at the works which include pieces by John McHale and Gwyther Irwin.



Narrator seems slightly dismissive about this style of art - poking fun a little bit.



Note: spellings vary in paperwork - could be E.L.T. Messens.
 FILM ID:83.12

A VIDEO FROM BRITISH PATHÉ. EXPLORE OUR ONLINE CHANNEL, BRITISH PATHÉ TV. IT'S FULL OF GREAT DOCUMENTARIES, FASCINATING INTERVIEWS, AND CLASSIC MOVIES. http://www.britishpathe.tv/

FOR LICENSING ENQUIRIES VISIT http://www.britishpathe.com/ 

British Pathé also represents the Reuters historical collection, which includes more than 120,000 items from the news agencies Gaumont Graphic (1910-1932), Empire News Bulletin (1926-1930), British Paramount (1931-1957), and Gaumont British (1934-1959), as well as Visnews content from 1957 to the end of 1979. All footage can be viewed on the British Pathé website. https://www.britishpathe.com/","['book', 'diningtable', 'bottle', 'vase', 'laptop', 'cup', 'cake', 'chair']"
"Mixed media, altered art, collage miniature paper rose projects",www.youtube.com/watch?v=zRELWH5tJQE,Art&Music,"http://www.papercatdesigns.ning.com Learn how to make miniature paper roses and apply them to a variety of spring projects including wine glass charms, favor boxes and journal pages.","['mouse', 'cell phone']"
Digital Collage in Photoshop,www.youtube.com/watch?v=GxPB2R9qhPI,Art&Music,Digital collage tutorial using Photoshop CC 2018,"['book', 'tie', 'cell phone', 'tvmonitor']"
